material,local,form,code,shape,units,parameters,density,density_unit,embodied_carbon,embodied_water,density_ref,embodied_carbon_ref,embodied_water_ref,,***THIS COLUMN SAVED FOR LATER - NO REFERENCE TO ECOINVENT AT THIS TIME***
Aluminium,0,Composite panel,ALU-CPA_,RECTANGULAR,KG; M2,,1350,kg/m3,26.700,160.000,ICE v.2.0 (2011),"EPIC (2019), aluminium sheet, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), aluminium sheet, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, aluminium alloy production, Metallic Matrix Composite, GLO (Global), Inputs from technosphere, tap water"
Aluminium,0,Sheet,ALU-SHE_,RECTANGULAR,KG; M2; PCE,,2700,kg/m3,26.700,160.000,ICE v.2.0 (2011),"EPIC (2019), aluminium sheet, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), aluminium sheet, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, aluminium alloy production, Metallic Matrix Composite, GLO (Global), Inputs from technosphere, tap water"
Aluminium,0,"Other (e.g., window profile)",ALU-OTH_,UNDEFINED,KG,,2700,kg/m3,29.400,182.000,ICE v.2.0 (2011),"EPIC (2019), aluminium extruded, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), aluminium extruded, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, aluminium alloy production, Metallic Matrix Composite, GLO (Global), Inputs from technosphere, tap water"
Bamboo,0,Pole,BMB-POL_,CYLINDRICAL,KG; PCE,,700,kg/m3,0.260,25.66,"ICE v.3.0 (2019)","EPIC (2019), softwood, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), softwood, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, bamboo pole production, GLO (Global)"
Bamboo,0,Woven mat,BMB-MAT_,UNDEFINED,KG,,n.a.,,0.260,25.66,n.a.,"ICE v.3.0 (2019)","EPIC (2019), softwood, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, bamboo pole production, GLO (Global)"
Bamboo,0,Other,BMB-OTH_,UNDEFINED,KG,,n.a.,,0.260,25.66,n.a.,"ICE v.3.0 (2019)","EPIC (2019), softwood, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, bamboo pole production, GLO (Global)"
Bitumen,0,"Paint, membrane",BIT-ALL_,RECTANGULAR,KG; L; M2,,1000,kg/m3,0.200,2.900,"ICE v.2.0 (2011), Bitumen, insulation, all types","EPIC (2019), asphalt, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), asphalt, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, bitumen seal production, GLO (Global), Inputs from technosphere"
Bitumen,0,Other,BIT-OTH_,UNDEFINED,KG,,1000,kg/m3,0.200,2.900,"ICE v.2.0 (2011), Bitumen, insulation, all types","EPIC (2019), asphalt, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), asphalt, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, bitumen seal production, GLO (Global), Inputs from technosphere"
"Canvas, Polycotton",0,"Heavy - sheet, tarpaulin, tent (e.g. SFT outer)",PLC-HVY_,SHEET,KG; PCE ,,0.35,kg/m2,4.265,22200.000,"UNHCR, 2012. Standard Family tent specifications - outer tent, roof","Kalliala, E.M., Nousiainen, P. (1999) Environmental Profile of Cotton and Polyester Cotton Fabrics. AUTEX Research Journal, 1/1","Kalliala, E.M., Nousiainen, P. (1999) Environmental Profile of Cotton and Polyester Cotton Fabrics. AUTEX Research Journal, 1/1",,"EcoInvent 3.8, finishing, textile, woven cotton - GLO, Inputs from technosphere, tap water"
"Canvas, Polycotton",0,"Light - sheet, tarpaulin, tent (e.g. SFT outer)",PLC-LHT_,SHEET,KG; PCE,,0.13,kg/m2,4.265,22200.000,"UNHCR, 2012. Standard Family tent specifications - outer tent, roof","Kalliala, E.M., Nousiainen, P. (1999) Environmental Profile of Cotton and Polyester Cotton Fabrics. AUTEX Research Journal, 1/1","Kalliala, E.M., Nousiainen, P. (1999) Environmental Profile of Cotton and Polyester Cotton Fabrics. AUTEX Research Journal, 1/1",,"EcoInvent 3.8, finishing, textile, woven cotton - GLO, Inputs from technosphere, tap water"
"Canvas, Polycotton",0,Other,PLC-OTH_,UNDEFINED,KG,,0.35,kg/m2,4.265,22200.000,"UNHCR, 2012. Standard Family tent specifications - outer tent, roof","Kalliala, E.M., Nousiainen, P. (1999) Environmental Profile of Cotton and Polyester Cotton Fabrics. AUTEX Research Journal, 1/1","Kalliala, E.M., Nousiainen, P. (1999) Environmental Profile of Cotton and Polyester Cotton Fabrics. AUTEX Research Journal, 1/1",,"EcoInvent 3.8, finishing, textile, woven cotton - GLO, Inputs from technosphere, tap water"
"Cardboard, paper",0,Sheet,CAR-ALL_,SHEET,KG,,n.a.,,16.000,448.000,n.a.,"EPIC (2019), paper - wallpaper, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), paper - wallpaper, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, paper production, woodcontaining, supercalendered, GLO (Global), Inputs from environment "
"Cardboard, paper",0,Other,CAR-OTH_,UNDEFINED,KG,,n.a.,,16.000,448.000,n.a.,"EPIC (2019), paper - wallpaper, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), paper - wallpaper, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, paper production, woodcontaining, supercalendered, GLO (Global), Inputs from environment "
Cement,0,Mortar,CEM-MTR_,RECTANGULAR,KG; M3,,1650,kg/m3,0.350,3.700,"ICE v.2.0 (2011), mortar (1:4)","EPIC (2019), cement mortar, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), cement mortar, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, cement mortar production, hand-mixed, on-site, GLO (Global), Inputs from technosphere, tap water"
Cement,0,Pure cement powder,CEM-PUR_,UNDEFINED,KG,,1860,kg/m3,1.300,7.800,ICE v.2.0 (2011),"EPIC (2019), portland cement, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), portland cement, <https://doi.org/10.26188/5dc228ef98c5a>",,"UNHCR, 2021. Shelter and Sustainability, p10"
Cement,0,Other,CEM-OTH_,UNDEFINED,KG,,1860,kg/m3,1.300,7.800,ICE v.2.0 (2011),"EPIC (2019), portland cement, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), portland cement, <https://doi.org/10.26188/5dc228ef98c5a>",,"UNHCR, 2021. Shelter and Sustainability, p10"
Clay,1,"Brick, fired",CLA-BRF_,BRICK,KG; M3; PCE,,1920,kg/m3,0.320,1.800,ICE v.2.0 (2011),"EPIC (2019), clay brick, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), clay brick, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, clay brick production, GLO (Global), Inputs from technosphere, tap water"
Clay,1,"Brick, unfired",CLA-BRU_,BRICK,KG; M3; PCE,,2200,kg/m3,0.024,1.800,"Engineering Toolbox, Density of solids, Brick, pressed","ICE v.2.0 (2011), Soil, General rammed soil","EPIC (2019), Sand, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, clay brick production, GLO (Global), Inputs from technosphere, tap water"
Clay,0,"Floor tile, fired",CLA-TLF_,RECTANGULAR,KG; M2,,2000,kg/m3,1.300,15.200,ICE v.2.0 (2011),"EPIC (2019), ceramic tile, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), ceramic tile, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, clay brick production, GLO (Global), Inputs from technosphere, tap water"
Clay,0,"Roof tile, fired",CLA-TLR_,RECTANGULAR,KG; M2,,2000,kg/m3,0.610,4.700,ICE v.2.0 (2011),"EPIC (2019), clay roof tile, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), clay roof tile, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, clay brick production, GLO (Global), Inputs from technosphere, tap water"
Clay,0,Other,CLA-OTH_,UNDEFINED,KG,,2000,kg/m3,0.610,4.700,ICE v.2.0 (2011),"EPIC (2019), clay roof tile, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), clay roof tile, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, clay brick production, GLO (Global), Inputs from technosphere, tap water"
Concrete,0,Aerated/lightweight block,CON-AEB_,RECTANGULAR,KG; M3; PCE,,750,kg/m3,0.710,8.400,ICE v.2.0 (2011),"EPIC (2019), Autoclaved aerated concrete (AAC), <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Autoclaved aerated concrete (AAC), <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, autoclaved aerated concrete block production, GLO (Global), Inputs from technosphere, tap water"
Concrete,0,General,CON-GEN_,UNDEFINED,KG; M3,,2000,kg/m3,2.077,0.064,ICE v.2.0 (2011),"EPIC (2019), Concrete 20 MPa (derived), <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Concrete 20 MPa (derived), <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, concrete production, 40MPa, ready-mix, with Portland cement, GLO (Global), Inputs from technosphere, tap water"
Concrete,0,"Precast, block",CON-PCB_,RECTANGULAR,KG; M3; PCE,,1350,kg/m3,0.240,3.700,ICE v.2.0 (2011),"EPIC (2019), Concrete block, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Concrete block, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, concrete production, 40MPa, ready-mix, with Portland cement, GLO (Global), Inputs from technosphere, tap water"
Concrete,0,"Precast, other unit",CON-PCU_,UNDEFINED,KG; PCE,,2200,kg/m3,0.240,3.700,"ICE v.2.0 (2011), Concrete, cast, dense,","EPIC (2019), Concrete block, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Concrete block, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, concrete production, 40MPa, ready-mix, with Portland cement, GLO (Global), Inputs from technosphere, tap water"
Concrete,0,Reinforced,CON-REI_,UNDEFINED,KG; M3,,2300,kg/m3,2.077,0.064,"ICE v.2.0 (2011), Concrete, cast, dense, reinforced","EPIC (2019), Concrete 20 MPa (derived), <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Concrete 20 MPa (derived), <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, concrete production, 40MPa, ready-mix, with Portland cement, GLO (Global), Inputs from technosphere, tap water"
Concrete,0,Other,CON-OTH_,UNDEFINED,KG,,2300,kg/m3,2.077,0.064,"ICE v.2.0 (2011), Concrete, cast, dense, reinforced","EPIC (2019), Concrete 20 MPa (derived), <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Concrete 20 MPa (derived), <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, concrete production, 40MPa, ready-mix, with Portland cement, GLO (Global), Inputs from technosphere, tap water"
"Earth, soil, mud",1,Earth roof,EAR-ROF_,UNDEFINED,KG; M3,,1460,kg/m3,0.024,1.800,"ICE v.2.0 (2011), earth, common","ICE v.2.0 (2011), Soil, General rammed soil","EPIC (2019), Sand, <https://doi.org/10.26188/5dc228ef98c5a>",,n.a.
"Earth, soil, mud",1,Mud plaster,EAR-PLA_,RECTANGULAR,KG; M3,,1460,kg/m3,0.024,1.800,"ICE v.2.0 (2011), earth, common","ICE v.2.0 (2011), Soil, General rammed soil","EPIC (2019), Sand, <https://doi.org/10.26188/5dc228ef98c5a>",,n.a.
"Earth, soil, mud",1,Rammed earth,EAR-RME_,RECTANGULAR,KG; M3,,1460,kg/m3,0.024,1.800,"ICE v.2.0 (2011), earth, common","ICE v.2.0 (2011), Soil, General rammed soil","EPIC (2019), Sand, <https://doi.org/10.26188/5dc228ef98c5a>",,n.a.
"Earth, soil, mud",1,Other,EAR-OTH_,UNDEFINED,KG,,1460,kg/m3,0.024,1.800,"ICE v.2.0 (2011), earth, common","ICE v.2.0 (2011), Soil, General rammed soil","EPIC (2019), Sand, <https://doi.org/10.26188/5dc228ef98c5a>",,n.a.
Glass,0,Window pane,GLA-WIN_,RECTANGULAR,KG; M2,,2500,kg/m3,2.000,32.200,"ICE v.2.0 (2011), Glass, solid (soda-lime)","EPIC (2019), Flat glass, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Flat glass, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, flat glass production, uncoated - GLO, Inputs from environment, Water, cooling, unspecified natural origin"
Glass,0,Wool insulation,GLA-WOO_,RECTANGULAR,KG; M3,,10,kg/m3,4.000,40.700,"ICE v.2.0 (2011), Insulation, Fibreglass (glasswool)","EPIC (2019), Glasswool insulation, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Glasswool insulation, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, glass wool mat production, GLO (Global), Inputs from technosphere, tap water"
Glass,0,Other,GLA-OTH_,UNDEFINED,KG,,2500,kg/m3,2.000,32.200,"ICE v.2.0 (2011), Insulation, Fibreglass (glasswool)","EPIC (2019), Flat glass, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Flat glass, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, glass wool mat production, GLO (Global), Inputs from technosphere, tap water"
"Grass, straw",1,..,GRA-ALL_,UNDEFINED,KG,,15,kg/m3,0.100,18.700,"Kuchai, N. et al., 2019. Embodied energy and embodied carbon of 81 shelters globally. ","Kuchai, N. et al., 2019. Embodied energy and embodied carbon of 81 shelters globally.","EPIC (2019), softwood (derived)<https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, grass production, organic, intensive, GLO (Global), Inputs from technosphere"
"Grass, straw",0,Other,GRA-OTH_,UNDEFINED,KG,,15,kg/m3,0.100,18.700,"Kuchai, N. et al., 2019. Embodied energy and embodied carbon of 81 shelters globally. ","Kuchai, N. et al., 2019. Embodied energy and embodied carbon of 81 shelters globally.","EPIC (2019), softwood (derived)<https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, grass production, organic, intensive, GLO (Global), Inputs from technosphere"
Gypsum,0,Plaster,GYP-PLA_,RECTANGULAR,KG; M2,,950,kg/m3,0.440,6.500,ICE v.2.0 (2011),"EPIC (2019), Gypsum plaster, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Gypsum plaster, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, gypsum fibreboard production, GLO (Global), Inputs from technosphere, tap water"
Gypsum,0,Other,GYP-OTH_,UNDEFINED,KG,,950,kg/m3,0.440,6.500,ICE v.2.0 (2011),"EPIC (2019), Gypsum plaster, <https://doi.org/10.26188/5dc228ef98c5a>","EPIC (2019), Gypsum plaster, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, gypsum fibreboard production, GLO (Global), Inputs from technosphere, tap water"
Hemp,0,"Rope, hemp (or other natural fibre) (10mm)",HMP-ROP_,ROPE,KG; M,,0.056,kg/m,4.265,18.700,"Engineering Toolbox, Manila-rope-strength
 (equivalent strength to IOM-specified synthetic rope)","Kalliala, E. et al., 1999. Environmental Profile of Cotton and Polyester Cotton Fabrics.","EPIC (2019), softwood (derived), <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, sunn hemp production - GLO, Inputs from technosphere"
Hemp,0,Other,HMP-OTH_,UNDEFINED,KG,,0.056,kg/m,4.265,18.700,"Engineering Toolbox, Manila-rope-strength
 (equivalent strength to IOM-specified synthetic rope)","Kalliala, E. et al., 1999. Environmental Profile of Cotton and Polyester Cotton Fabrics.","EPIC (2019), softwood (derived), <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, sunn hemp production - GLO, Inputs from technosphere"
Lime,0,Plaster,LME-PLA_,RECTANGULAR,KG,,1350,kg/m3,0.780,6.500,"Engineering Toolbox, Density of solids, Lime, slaked","ICE v.2.0 (2011), General lime","EPIC (2019), Gypsum plaster, <https://doi.org/10.26188/5dc228ef98c5a>",,"EcoInvent 3.8, lime production, hydrated, loose weight, GLO (Global), Inputs from environment, Water, well, in ground"
