Country,_id,Population,Location id,latitude,longitude,solar_peak_hours
AF,Khost : Wilayat   ,9862,22,33.333847,69.9371673,5.17
AO,Lunda Norte,6908,93,-8.53698,19.52739696,5.41
BA,Federation of Bosnia and Herzegovina  ,2266,293,43.88749,17.842793,3.66
BD,Bhasan Char,16775,4778,22.3729,91.37659,4.95
BD,Camp 10,30835,3785,21.189743,92.154259,4.94
BD,Camp 11,31658,3795,21.18276,92.155749,4.93
BD,Camp 12,27557,3796,21.179848,92.151807,4.94
BD,Camp 13,43957,3798,21.178584,92.139856,4.95
BD,Camp 14,34039,3793,21.167026,92.144114,4.96
BD,Camp 15,54233,3782,21.160567,92.142901,4.96
BD,Camp 16,21863,3779,21.156461,92.149144,4.96
BD,Camp 17,18042,3799,21.197513,92.142851,4.94
BD,Camp 18,29212,3786,21.188976,92.14759,4.94
BD,Camp 19,25303,3790,21.183266,92.142411,4.95
BD,Camp 1E,40033,3797,21.216533,92.15566,4.93
BD,Camp 1W,38774,3791,21.21342,92.152348,4.93
BD,Camp 20,7567,3807,21.190871,92.140296,4.95
BD,Camp 20 Extension,10016,3776,21.194559,92.13437,4.95
BD,Camp 21,16387,3811,21.132213,92.158584,4.97
BD,Camp 22,22484,3801,21.088437,92.196866,4.97
BD,Camp 24,27409,3804,20.971724,92.247979,4.98
BD,Camp 25,7881,3802,20.980258,92.247219,4.99
BD,Camp 26,41771,3805,20.956998,92.25436839,4.98
BD,Camp 27,16077,3803,20.936073,92.260864,4.98
BD,Camp 2E,26497,3780,21.20663,92.16436719,4.93
BD,Camp 2W,24318,3794,21.208912,92.158323,4.93
BD,Camp 3,37105,3788,21.209166,92.149164,4.94
BD,Camp 4,32211,3810,21.208249,92.142885,4.94
BD,Camp 4 Extension,8666,3809,21.206272,92.136679,4.95
BD,Camp 5,26396,3789,21.2022,92.150814,4.94
BD,Camp 6,24584,3792,21.2,92.156858,4.93
BD,Camp 7,39009,3781,21.203122,92.165297,4.93
BD,Camp 8E,30951,3808,21.195558,92.164966,4.93
BD,Camp 8W,31910,3787,21.19679,92.154084,4.94
BD,Camp 9,34044,3784,21.189991,92.160313,4.93
BD,Kutupalong,17320,3918,21.212083,92.163801,4.93
BD,Nayapara,22869,3917,20.957341,92.249869,4.98
BD,Other,1090,4793,21.13475,92.16139318,4.97
BW,Dukwi  ,599,299,-20.586048,26.5078971,6.05
BY,Brest : Oblast  ,20,252,52.097621,23.7340503,3.03
BY,Gomel : Oblast  ,28,253,52.441176,30.9878462,3.06
BY,Mogilev : Oblast  ,8,257,53.900716,30.3313598,2.93
BY,Vitebsk : Oblast  ,29,258,55.184806,30.201622,2.82
CD,Bili,9928,4113,4.557068,19.93853624,5.39
CD,Boyabu,12375,881,-2.879866,23.65637779,4.85
CD,Inke,17670,906,4.199184,21.0152326,5.36
CD,Lusenda,26393,4369,-3.898429,29.10078062,5.18
CD,Mboti,672,962,-2.879866,23.65637779,4.85
CD,Mole,11078,967,4.136292,18.80358112,5.29
CD,Mulongwe,7528,4370,-4.226263,29.0421482,5.42
CM,Borgop  ,11511,426,6.915686,14.80075262,5.78
CM,Gado Badzere  ,29162,448,5.74878,14.44108755,5.52
CM,Lolo,12488,3735,4.278777,14.89946055,5.33
CM,Mbile  ,11031,481,4.326442,14.83967318,5.32
CM,Minawao,68516,495,10.564918,13.85652298,5.94
CM,Ngam,6811,3758,6.73375,14.57014,5.7
CM,Ngarisingo,1374,3742,3.554363,15.05656738,5.19
CM,Timangolo  ,7211,525,4.628767,14.54497063,5.34
CU,Camaguey  ,5,811,21.4146,-77.94450378,5.46
CU,Cienfuegos  ,11,813,22.237978,-80.365865,5.51
CU,Holguin  ,8,819,20.887739,-76.25879669,5.48
CU,La Habana  ,35,821,23.05407,-82.345189,5.3
CU,Las Tunas  ,7,822,21.060516,-76.9182097,5.43
CU,Matanzas  ,5,823,22.576712,-81.3399414,5.43
CU,Pinar del Rio  ,5,825,0,0,5.42
CU,Villa Clara  ,23,828,22.49372,-79.9192702,5.34
DJ,Ali-Addeh  ,17009,1014,11.825138,42.590275,6.24
DJ,Hol-Hol  ,7852,1018,11.307877,42.9295323,5.76
DJ,Obock : Pont,2730,3620,0,0,6
ET,Adiharush  ,14143,1098,8.626703,39.63755417,6.18
ET,Asaita  ,24726,1103,11.550586,41.4362457,6.16
ET,Awbarre  ,12605,1105,9.785503,43.2207073,6.55
ET,Bambasi Camp  ,19338,1107,0,0,5.83
ET,Berhale  ,31088,1110,13.863604,40.0210039,5.84
ET,Bokolmanyo  ,28548,1111,4.545546,41.5362656,5.86
ET,Buramino  ,38209,1115,8.626703,39.63755417,6.18
ET,Gure Shembolla  ,10331,3969,9.52616,34.49781,5.35
ET,Hilaweyn  ,40856,1126,4.364258,41.8650435,5.94
ET,Hitsats,3945,1127,8.626703,39.63755417,6.18
ET,Jewi  ,64669,3928,8.15199,34.70351833,5.28
ET,Kebribeyah  ,16396,1132,8.626703,39.63755417,6.18
ET,Kobe Camp  ,34169,1133,4.47747,41.7432283,5.98
ET,Kule  ,52334,3927,8.28338,34.25092,5.27
ET,Mai-Ayni  ,12920,1136,8.626703,39.63755417,6.18
ET,Melkadida  ,37893,1137,4.518883,41.7183345,5.96
ET,Nguenyyiel  ,100222,3624,0,0,5.83
ET,Okugo  ,13335,1140,6.492319,35.13235278,5.33
ET,Pugnido  ,47474,3926,7.64825,34.26808,5.25
ET,Pugnido 2  ,10081,3930,7.67918,34.24729,5.25
ET,Sheder  ,12748,1144,9.691027,43.1233099,6.53
ET,Sherkole  ,11636,1145,10.6667,34.83330154,5.75
ET,Shimelba (Shire/Shiraro)  ,3919,1146,14.396963,37.77425,6.26
ET,Tierkidi  ,68863,3925,8.27517,34.27598,5.28
ET,Tongo Camp  ,11824,1149,34.055,-118.366389,5.42
ET,Tsore ,18414,3587,0,0,5.83
GH,Ampain  ,3594,1248,4.970577,-2.424698674,4.82
GH,Egyeikroum  ,1338,1255,7.92133,-1.204386234,5.16
GH,Fetentaa  ,1050,1256,7.469863,-2.670541226,4.75
GH,Krisan  ,797,1258,4.962999,-2.4616508,4.9
IN,Dispersed in the country / territory,101072,1376,20.593684,78.96288,5.24
IN,Tamil Nadu : State,58648,1378,11.127123,78.6568942,5.46
IQ,Akre Camp : Duhok Governorate,1054,4646,36.7354,43.8795,5.12
IQ,Arbat Camp : Sulaymaniyah Governorate,9651,4587,35.37637,45.6091,5.25
IQ,Bardarash : Duhok Governorate,3478,4568,36.502242,43.58510856,5.12
IQ,Basirma Camp : Erbil Governorate,1973,4593,36.49545,44.34031,5.1
IQ,Darashakran Camp : Erbil Governorate,11675,4590,36.47112,43.89177,5.11
IQ,Domiz 2 Camp : Duhok Governorate,10950,4595,36.7643,42.89599,5.14
IQ,Domiz Camp : Duhok Governorate,30937,4594,36.7822,42.8913,5.16
IQ,Gawilan Camp : Duhok Governorate,9301,4592,36.3383,43.61544,5.14
IQ,Kawergosk Camp : Erbil Governorate,7993,4591,36.34488,43.8113,5.12
IQ,Qushtapa Camp : Erbil Governorate,8450,4589,35.98379,44.0367,5.18
IR,Abazar  ,127,1430,28.978026,50.8379918,5.61
IR,Ardakan : Shahrestan   ,3221,1433,32.308221,54.0085616,5.58
IR,Bani Najjar  ,1797,1435,32.500778,54.2942009,5.65
IR,Bardsir : Shahrestan   ,4281,1436,29.938473,56.5728597,5.92
IR,Bezileh  ,31,1437,32.500778,54.2942009,5.65
IR,Dalaki  ,198,1439,29.42919,51.28884888,5.64
IR,Dilzeh  ,14,1440,35.063702,47.96609879,5.36
IR,Jahrom : Shahrestan   ,124,1449,28.517744,53.5743866,6.03
IR,Meybod : Shahrestan   ,1334,1462,32.248723,54.0079341,5.58
IR,Mohajerin  ,3899,1463,35.0741,48.61669922,5.32
IR,Rafsanjan : Shahrestan   ,6355,1468,30.354889,56.002705,5.88
IR,Sarvestan : Shahrestan   ,598,1470,29.2735,53.22029877,6.06
IR,Saveh : Shahrestan   ,4970,1471,35.023611,50.3585065,5.2
IR,Sonqor : Shahrestan   ,21,1475,34.784805,47.59115601,5.42
IR,Sultanieh  ,44,1477,36.434799,48.79759979,5.15
IR,Taft : Shahrestan   ,1107,1478,31.747101,54.20880127,5.7
IR,Torbat e jam : Shahrestan   ,2266,1480,35.231686,60.6401218,5.33
IR,Varmahang  ,8,1481,34.795898,46.88489914,5.43
IR,Ziveh  ,266,1486,38.125198,48.2580986,4.76
JO,Mafraq : Zataari Camp,80708,1641,32.4186,38.3165725,5.89
JO,Zarqa : Emirates Jordanian Camp (EJC),6667,1644,31.751512,36.8680791,5.92
JO,Zarqa: Azraq Camp,43934,1645,31.751512,36.8680791,5.92
KE,Dagahaley  ,79429,1657,0.194599,40.2879598,5.66
KE,Hagadera  ,83481,1659,0.09258,40.3190719,5.66
KE,Ifo  ,73341,1660,0.110645,40.3162007,5.68
KE,Kakuma  ,173742,1664,3.716764,34.8568982,6.06
KE,Kalobeyei Settlement,43470,4449,3.76771,34.62204,5.93
LR,Grand Gedeh  ,2319,1721,5.922208,-8.2212979,5
LR,Nimba  ,5289,1740,6.842761,-8.6600586,4.98
LR,River Ghee  ,639,1747,5.260489,-7.87216,4.88
LR,Sinoe,6,1753,5.49871,-8.6600586,4.83
MR,Mbera  ,69149,1877,0,0,0
MW,Dzaleka  ,52673,1806,-13.662827,33.8704301,5.71
MZ,Maratane  ,9,1941,-16.643101,37.16999817,5.36
MZ,Mozambique,744949,4448,-17.875215,35.27209439,5.32
NA,Osire  ,5325,1981,-21.067094,17.3641866,6.47
NE,Agadez region,1699,3853,16.973764,7.98647443,6.31
NE,Camp Abala  ,16365,2026,17.424074,9.400633812,6.41
NG,Benue,11096,4482,7.36167,8.799780953,5.05
NP,Eastern Region,6918,1990,27.330907,87.0624261,3.72
PK,Balochistan     ,13986,2088,28.490733,65.0957792,5.9
PK,Khyber Pakhtunkhwa     ,233451,2143,34.952621,72.331113,4.85
PK,Punjab     ,6979,2182,31.170406,72.7097161,4.9
SD,Abu Gabra,14696,3984,11.066265,26.854147,6.18
SD,Abuda  ,2367,2785,14.3525,35.8897,6.22
SD,Al Nimir Camp,11708,3991,11.22495,26.00037,6.22
SD,Blue Nile : CAMP 6,3992,4580,11.425112,34.697352,5.85
SD,Fau 5  ,836,2850,14.41875,33.939796,6.21
SD,Girba,6243,2865,14.96632,35.922356,6.24
SD,Kario,45431,4002,11.0853,26.12228,6.21
SD,Kilo 26  ,9862,2897,15.084714,35.764364,6.24
SD,Mukjar  ,6,2929,11.997083,25.613171,6.27
SD,Shagarab 1  ,38333,2963,14.7597,35.9803,6.25
SD,Shagarab 2  ,13082,2964,14.7381,35.9736,6.25
SD,Shagarab 3  ,6356,2965,14.7042,35.9722,6.24
SD,Southern Darfur : Wilayat      ,31849,2973,11.648864,24.9042208,6.29
SD,Tenedba,23545,2979,13.7544,34.3908,6.14
SD,Um Gargur  ,11647,2994,14.5092,35.6361,6.21
SD,Um Rakuba,19845,2999,13.4897,35.68,6.17
SD,Wad Sherife  ,18191,3020,15.365898,36.452404,6.3
SD,White Nile - Al Jameya,11625,4007,12.727639,32.727244,6.05
SD,White Nile - Al Kashafa,13302,3977,12.500097,32.78025,6.02
SD,White Nile - Alagaya,38414,3976,12.366076,32.801976,6
SD,White Nile - Alredais1,11622,3975,12.590601,32.777445,6.03
SD,White Nile - Alredais2,27239,3974,12.598457,32.765813,6.04
SD,White Nile - Dabat Bosin,27850,3973,12.369378,32.802193,6
SD,White Nile - Jouri,11989,3972,12.472768,32.787378,6.01
SD,White Nile - Khor Al waral,37830,4006,12.716649,32.740752,6.05
SD,White Nile - Um Sangour,40860,3971,12.660033,32.747302,6.05
SI,Ljubljana : Obcine       ,552,2658,46.056947,14.5057515,3.51
SS,Ajuong Thok,46155,2701,9.935235,30.37540818,5.8
SS,Doro  ,73186,2706,9.978238,33.758634,5.59
SS,Gendrassa,20485,2711,9.9867,33.617,5.61
SS,Gorom  ,2185,2712,124.717443,31.581,5.59
SS,Kaya,27325,2715,10.095603,33.58351,5.61
SS,Lasu  ,672,2721,14.485102,121.0232543,5.12
SS,Makpandu  ,7935,2725,4.740058,28.678979,5.63
SS,Pamir,45428,3752,9.918056,30.351389,5.8
SS,Yusuf Batil,53569,2757,10.0177,33.54579926,5.61
SY,Al Hol,29494,3044,36.375067,41.151031,5.28
TD,Am Nabak  ,27270,579,14.764035,22.33285555,6.51
TD,Amboko  ,10153,582,7.937519,16.58773232,5.85
TD,Belome  ,30107,593,10.9372,15.43159962,5.93
TD,Bredjing  ,49777,598,13.428607,21.69712256,6.3
TD,Daha 1,684,3954,9.21895,20.477933,5.94
TD,Daha 2,499,3953,9.489722,20.738889,5.96
TD,Dar Es Salam  ,16966,603,13.619263,14.29864581,6.1
TD,Djabal  ,24801,606,13.933333,22.2,6.4
TD,Doholo  ,12632,609,9.12337,16.24640083,5.92
TD,Dosseye  ,14211,610,8.153723,16.48713794,5.87
TD,Farchana  ,31104,612,12.4544,15.21440029,5.99
TD,Gaga  ,30462,613,13.763162,21.43895265,6.32
TD,Gondje  ,9537,617,7.959575,16.55375996,5.85
TD,Goz Amer  ,37393,621,11.997785,21.75284385,6.19
TD,Iridimi  ,24630,634,15.127491,22.13658672,6.51
TD,Kerfi,1525,635,11.880928,21.30252558,6.18
TD,Kouchaguine Moura,11853,4467,13.808278,21.18413,6.31
TD,Kounoungou  ,22841,641,14.463244,21.94217601,6.45
TD,Mile  ,23894,646,14.6,21.9,6.44
TD,Moyo  ,7412,650,9.919188,20.87839613,6.02
TD,Oure Cassoni  ,35631,654,15.72302,23.10181395,6.51
TD,Touloum  ,30247,665,15.003101,22.27245862,6.49
TD,Treguine  ,23057,666,13.440408,21.68641854,6.3
TG,Avepozo,835,3172,6.16828,1.342527815,5.25
TG,Tandjoare : Prefecture,3883,3964,10.67807,0.075346328,5.6
TH,Ban Don Yang  ,2440,3074,15.27107,98.301792,4.82
TH,Ban Mae Surin  ,1932,3076,19.023042,97.83126389,4.65
TH,Mae La  ,34217,3083,17.130133,98.373675,4.77
TH,Mae La Oon  ,8965,3084,17.805906,97.78283611,4.83
TH,Mae Ra Ma Luang  ,9876,3085,17.804575,97.80838333,4.63
TH,Mai Nai Soi  ,8118,3075,19.354692,97.838819,4.85
TH,Nu Po  ,9421,3089,15.851136,98.67281389,4.92
TH,Tham Hin  ,5738,3092,13.697419,99.26630278,4.76
TH,Umpium  ,10703,3093,16.391089,99.008736,4.36
TZ,Mtendeli (Kibondo),211,3423,-6.16161,39.19659042,5.55
TZ,Nduta (Kibondo),76848,3428,-5.38333,34.93330002,6.03
TZ,Nyarugusu  ,128835,3430,-4.217235,30.3867834,5.54
YE,Lahj : Muhafazah - Governorate,9265,3764,12.949357,44.17684537,5.93
ZM,Mantapala  ,18140,3635,-9.526658,28.868964,5.76
ZM,Mayukwayukwa  ,21179,3546,-14.549008,24.191094,5.93
ZM,Meheba  ,34265,3547,-12.497463,25.8816,5.86
ZW,Harare  ,900,3556,-17.825166,31.03351,5.74
ZW,Manicaland     ,14895,3557,-18.921639,32.174605,5.75
